CanonicalJoint,OpenUSD,BVH,ASF/AMC,VRM,HAnim,SMPL,SMPL-X,Mixamo,UEMannequin,UnityMecanim,Godot,SecondLife,Roblox,Momentum,ANNY
Root (Parent of e.g. Hips),-,-,-,root,humanoid_root,-,-,-,-,-,Root,-,Root/HumanoidRootNode,root,-
Hips,Hips,Hips,pelvis,hips,sacroiliac,pelvis,pelvis,Hips,Root (Pelvis),Hips,Hips,mPelvis/PELVIS,LowerTorso,c_spine0,root
Spine,Torso,Spine,lowerback,spine,vl5,spine1,spine1,Spine,Spine_01,Spine,Spine,mTorso/BELLY,-,c_spine1,spine05
Spine1/2/etc,-,-,-,-,"vl3, vl1, vt10, vt6, vt1",-,-,-,-,-,-,mSpine1/2/3/4,-,c_spine1/c_spine2,"spine04, spine03"
Chest,Chest,Spine1 / Spine2,upperback / thorax,chest,vc7,spine2,spine2,Spine1 / Spine2,Spine_02 / Spine_03,Chest,Chest,mChest/CHEST,UpperTorso,c_spine3,spine02
Chest1/2/etc,UpChest,-,-,upperChest,"l_, r_sternoclavicular",-,-,-,-,UpperChest (opt),UpperChest,-,-,-,spine01
Neck,Neck,Neck,lowerneck,neck,"vc4, vc2",neck,neck,Neck,Neck_01,Neck,Neck,mNeck/NECK,-,c_neck,"neck01, neck02, neck03"
Head,Head,Head,head,head,skullbase,head,head,Head,Head,Head,Head,mHead/HEAD,Head/DynamicHead (Opt),c_head,head
Head1,-,-,-,-,-,-,-,-,-,-,-,mSkull,-,-,-
Jaw,-,EndSite,opt,jaw,temperomandibular,opt,jaw,opt,opt,Jaw,Jaw,mFaceJaw,-,c_jaw,-
LeftEye,LEye,EndSite,eye_l,leftEye,l_eyeball,-,LEye,opt,Eye_L,LeftEye,LeftEye,mEyeLeft,-,l_eye,eye.L
Left / Right Eyelids,L / R controls x 12,-,-,-,"l_eyelid, r_eyelid",-,-,-,-,-,-,mFaceEyeLid*,-,-,-
LeftEyeTwist,-,-,-,-,l_eyeball,-,LEyeTwist,-,Eye_L_Twist,-,-,-,-,-,-
RightEye,REye,EndSite,eye_r,rightEye,r_eyeball,-,REye,opt,Eye_R,RightEye,RightEye,mEyeRight,-,r_eye,eye.R
RightEyeTwist,-,-,-,-,r_eyeball,-,REyeTwist,-,Eye_R_Twist,-,-,-,-,-,-
Nose,Nose,-,-,-,"(future, FACS)",-,Nose,opt,opt,-,-,mFaceNose*,-,-,-
Chin,Chin / LChin / RChin,-,-,-,"(future, FACS)",-,Chin,opt,opt,-,-,mFaceChin,-,-,-
Left / Right Ear,LEar / REar,-,-,-,"(future, FACS)",-,-,-,-,-,-,mFaceEar*,-,-,-
LeftCheek,LCheek,-,-,-,"(future, FACS)",-,LCheek,opt,opt,-,-,mFaceCheek(Upper/Lower)Left,-,-,-
RightCheek,RCheek,-,-,-,"(future, FACS)",-,RCheek,opt,opt,-,-,mFaceCheek(Upper/Lower)Right,-,-,-
Mouth,Mouth,-,-,-,"(future, FACS)",-,Mouth,opt,opt,-,-,-,-,-,-
UpperLip,UpLip / LUpLip / RUpLip,-,-,-,"(future, FACS)",-,UpLip,opt,opt,-,-,mFaceLipUpper*,-,-,-
LowerLip,LoLip / LLoLip / RLoLip,-,-,-,"(future, FACS)",-,LoLip,opt,opt,-,-,mFaceLipLower*,-,-,-
LeftLipCorner,LLipCorner,-,-,-,"(future, FACS)",-,LLipCorner,opt,opt,-,-,mFaceLipCornerLeft,-,-,-
RightLipCorner,RLipCorner,-,-,-,"(future, FACS)",-,RLipCorner,opt,opt,-,-,mFaceLipCornerRight,-,-,-
Brow,LBrow / Brow,-,-,-,"l_eyebrow, r_eyebrow",-,LBrow / RBrow,opt,opt,-,-,mFaceEyebrow*,-,-,-
LeftShoulder,LShldr,LeftShoulder,lclavicle,leftShoulder,l_acromioclavicular,LShldr,LShldr,LeftShoulder,Clavicle_L,LeftShoulder,LeftShoulder,mCollarLeft/L_CLAVICLE,LeftUpperArm,l_clavicle,clavicle.L
LeftUpperArm,LArm,LeftArm,lhumerus,leftUpperArm,l_shoulder,LArm,LArm,LeftArm,UpperArm_L,LeftUpperArm,LeftUpperArm,mShoulderLeft/L_UPPER_ARM,-,l_uparm,upperarm01.L
LeftLowerArm,LElbow,LeftForeArm,lradius,leftLowerArm,l_elbow,LForeArm,LForeArm,LeftForeArm,LowerArm_L,LeftLowerArm,LeftLowerArm,mElbowLeft/L_LOWER_ARM,LeftLowerArm,l_lowarm,lowerarm01.L
LeftHand,LHand,LeftHand,lwrist,leftHand,l_radiocarpal,LHand,LHand,LeftHand,Hand_L,LeftHand,LeftHand,mWristLeft/L_HAND,LeftHand,l_wrist,wrist.L
LeftThumbMetacarpal,LThumb,-,lthumb,leftThumbMetacarpal,l_carpometacarpal_1,-,LThumb,LThumb,opt,LeftThumbProximal,LeftThumbMetacarpal,mHandThumb1Left,-,l_thumb0,finger1-1.L
LeftThumbProximal,LThumbMid,-,-,leftThumbProximal,l_metacarpophalangeal_1,-,LThumbMid,LThumbMid,opt,LeftThumbIntermediate,LeftThumbProximal,mHandThumb2Left,-,l_thumb1,finger1-2.L
LeftThumbDistal,LThumbTip,-,-,leftThumbDistal,l_carpal_interphalangeal_1,-,LThumbTip,LThumbTip,opt,LeftThumbDistal,LeftThumbDistal,mHandThumb3Left,-,l_thumb2,finger1-3.L
LeftThumbTip,LThumbEnd,-,-,-,site l_carpal_distal_phalanx_1,-,LThumbEnd,LThumbEnd,opt,-,-,-,-,l_thumb_null,-
LeftIndexMetacarpal,-,-,-,-,l_carpometacarpal_2,-,-,-,-,-,-,-,-,-,metacarpal1.L
LeftIndexProximal,LIndex,-,lindex,leftIndexProximal,l_metacarpophalangeal_2,-,LIndex,LIndex,opt,LeftIndexProximal,LeftIndexProximal,mHandIndex1Left,-,l_index1,finger2-1.L
LeftIndexIntermediate,LIndexMid,-,-,leftIndexIntermediate,l_carpal_proximal_interphalangeal_2,-,LIndexMid,LIndexMid,opt,LeftIndexIntermediate,LeftIndexIntermediate,mHandIndex2Left,-,l_index2,finger2-2.L
LeftIndexDistal,LIndexTip,-,-,leftIndexDistal,l_carpal_distal_interphalangeal_2,-,LIndexTip,LIndexTip,opt,LeftIndexDistal,LeftIndexDistal,mHandIndex3Left,-,l_index3,finger2-3.L
LeftIndexTip,LIndexEnd,-,-,-,site l_carpal_distal_phalanx_2,-,LIndexEnd,LIndexEnd,opt,-,-,-,-,l_index_null,-
LeftMiddleMetacarpal,-,-,-,-,l_carpometacarpal_3,-,-,-,-,-,-,-,-,-,metacarpal2.L
LeftMiddleProximal,LMiddle,-,-,leftMiddleProximal,l_metacarpophalangeal_3,-,LMiddle,LMiddle,opt,LeftMiddleProximal,LeftMiddleProximal,mHandMiddle1Left,-,l_middle1,finger3-1.L
LeftMiddleIntermediate,LMiddleMid,-,lmiddle,leftMiddleIntermediate,l_carpal_proximal_interphalangeal_3,-,LMiddleMid,LMiddleMid,opt,LeftMiddleIntermediate,LeftMiddleIntermediate,mHandMiddle2Left,-,l_middle2,finger3-2.L
LeftMiddleDistal,LMiddleTip,-,-,leftMiddleDistal,l_carpal_distal_interphalangeal_3,-,LMiddleTip,LMiddleTip,opt,LeftMiddleDistal,LeftMiddleDistal,mHandMiddle3Left,-,l_middle3,finger3-3.L
LeftMiddleTip,LMiddleEnd,-,-,-,site l_carpal_distal_phalanx_3,-,LMiddleEnd,LMiddleEnd,opt,-,-,-,-,l_middle_null,-
LeftRingMetacarpal,-,-,-,-,l_carpometacarpal_4,-,-,-,-,-,-,-,-,-,metacarpal3.L
LeftRingProximal,LRing,-,lring,leftRingProximal,l_metacarpophalangeal_4,-,LRing,LRing,opt,LeftRingProximal,LeftRingProximal,mHandRing1Left,-,l_ring1,finger4-1.L
LeftRingIntermediate,LRingMid,-,-,leftRingIntermediate,l_carpal_proximal_interphalangeal_4,-,LRingMid,LRingMid,opt,LeftRingIntermediate,LeftRingIntermediate,mHandRing2Left,-,l_ring2,finger4-2.L
LeftRingDistal,LRingTip,-,-,leftRingDistal,l_carpal_distal_interphalangeal_4,-,LRingTip,LRingTip,opt,LeftRingDistal,LeftRingDistal,mHandRing3Left,-,l_ring3,finger4-3.L
LeftRingTip,LRingEnd,-,-,-,site l_carpal_distal_phalanx_4,-,LRingEnd,LRingEnd,opt,-,-,-,-,l_ring_null,-
LeftPinkyMetacarpal,-,-,-,-,l_carpometacarpal_5,-,-,-,-,-,-,-,-,l_pinky0,metacarpal4.L
LeftPinkyProximal,LPinky,-,lpinky,leftLittleProximal,l_metacarpophalangeal_5,-,LPinky,LPinky,opt,LeftLittleProximal,LeftLittleProximal,mHandPinky1Left,-,l_pinky1,finger5-1.L
LeftPinkyIntermediate,LPinkyMid,-,-,leftLittleIntermediate,l_carpal_proximal_interphalangeal_5,-,LPinkyMid,LPinkyMid,opt,LeftLittleIntermediate,LeftLittleIntermediate,mHandPinky2Left,-,l_pinky2,finger5-2.L
